Asana Foods - California Cuisine,Lightning,Açaí Bowl,Rio Bowl - small,"Organic, blended açaí & banana w/ GF granola & banana topping.",Vegan,Gluten-Free,16.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Rio Bowl - large,"Organic, blended açaí & banana w/ GF granola & banana topping.",Vegan,Gluten-Free,18.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Coco Bowl - small,"Organic, blended açaí, banana & cacao w/ GF granola, coconut, & banana topping.",Vegan,Gluten-Free,18.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Coco Bowl - large,"Organic, blended açaí, banana & cacao w/ GF granola, coconut, & banana topping.",Vegan,Gluten-Free,20.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Green Bowl - small,"Organic, blended açaí, banana & moringa w/ GF granola, hemp hearts, & banana topping.",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Green Bowl - large,"Organic, blended açaí, banana & moringa w/ GF granola, hemp hearts, & banana topping.",Vegan,Gluten-Free,19.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Warrior Bowl - small,"Organic, blended açaí, banana & maca w/ GF granola, cacao nibs, & banana topping.",Vegan,Gluten-Free,18.00
Asana Foods - California Cuisine,Lightning,Açaí Bowl,Warrior Bowl - large,"Organic, blended açaí, banana & maca w/ GF granola, cacao nibs, & banana topping.",Vegan,Gluten-Free,20.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Original - small,"Organic, blended açaí & banana. ",Vegan,Gluten-Free,14.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Original - large,"Organic, blended açaí & banana. ",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Coco - small,"Organic, blended açaí, cacao & banana. ",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Coco - large,"Organic, blended açaí, cacao & banana. ",Vegan,Gluten-Free,19.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Green - small,"Organic, blended açaí, moringa & banana. ",Vegan,Gluten-Free,16.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Green - large,"Organic, blended açaí, moringa & banana. ",Vegan,Gluten-Free,18.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Warrior - small,"Organic, blended açaí, maca & banana. ",Vegan,Gluten-Free,16.00
Asana Foods - California Cuisine,Lightning,Açaí Smoothie,Warrior - large,"Organic, blended açaí, maca & banana. ",Vegan,Gluten-Free,18.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Strawbana - small,"Organic, blended strawberry & banana.",Vegan,Gluten-Free,14.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Strawbana - large,"Organic, blended strawberry & banana.",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Very Berry - small,"Organic, blended mixed berries & banana.",Vegan,Gluten-Free,14.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Very Berry - large,"Organic, blended mixed berries & banana.",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Avo Banana - small,"Organic blended avocado, banana, hemp & cacao.",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Avo Banana - large,"Organic blended avocado, banana, hemp & cacao.",Vegan,Gluten-Free,19.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Hanuman - small,"Organic, blended açaí, peanut butter, maca, cacao, & coconut palm nectar.",Vegan,Gluten-Free,17.00
Asana Foods - California Cuisine,Lightning,Regular Smoothie,Hanuman - large,"Organic, blended açaí, peanut butter, maca, cacao, & coconut palm nectar.",Vegan,Gluten-Free,19.00
Asana Foods - California Cuisine,Lightning,Avocado Toast,Original Avocado Toast,"Two slices. Toasted sourdough, avocado, arugula, truffle salt, & lemon.",Vegan,Vegetarian,14.00
Asana Foods - California Cuisine,Lightning,Avocado Toast,Pesto Avocado Toast,"Two slices. Toasted sourdough, vegan pesto, avocado, arugula, truffle salt, & lemon.",Vegan,Vegetarian,16.00
Bombay Burritos,Thunder,Burritos,Chicken Tikka Burrito,"Tender shredded chicken tikka thighs wrapped with turmeric rice, yogurt, and cilantro",None,,21.00
Bombay Burritos,Thunder,Burritos,Veggie Korma Burrito,"Cauliflower, carrots, and potatoes simmered in rich korma sauce, wrapped with turmeric rice, cilantro and cashew yogurt.",Vegan,,19.00
Bombay Burritos,Thunder,Burritos,Black Dal Burrito,"Creamy, slow-simmered black lentils and red beans in a rich masala sauce, wrapped with turmeric rice cilantro and cashew yogurt.",Vegan,,19.00
Bombay Burritos,Thunder,Bowls,Chicken Tikka Bowl,"Tender shredded chicken tikka thighs served over turmeric rice, topped with yogurt and fresh cilantro.",Gluten-Free,,21.00
Bombay Burritos,Thunder,Bowls,Veggie Korma Bowl,"Cauliflower, carrots, and potatoes simmered in rich korma sauce, served over turmeric rice, topped with cilantro and cashew yogurt.",Vegan,Gluten-Free,19.00
Bombay Burritos,Thunder,Bowls,Black Dal Bowl,"Creamy, slow-simmered black lentils and red beans in a rich masala sauce, served over turmeric rice, topped with cilantro and cashew yogurt.",Vegan,Gluten-Free,19.00
Bombay Burritos,Thunder,Drinks,Arnold Palmer (24oz.),"A refreshing blend of bold Assam black tea and bright, citrusy lemonade.",Vegan,Gluten-Free,10.00
Bombay Burritos,Thunder,Drinks,Iced Chai Tea (16oz),"Crafted with freshly ground, high-quality chai spices and prepared with whole milk, served over ice.",Vegetarian,Gluten-Free,7.00
Bombay Burritos,Thunder,Drinks,Iced Chai Tea (Oat Milk),"Crafted with freshly ground, high-quality chai spices and prepared with oat milk, served over ice.",Vegan,Gluten-Free,8.00
Bombay Burritos,Thunder,Drinks,Mango Lassi Smoothie,"A creamy and cooling blend of yogurt with sweet Kesar and Alphonso mangoes, delicately spiced with green cardamom.",Vegetarian,Gluten-Free,11.00
Bombay Burritos,Thunder,Drinks,Mango Lassi Smoothie (Cashew Yogurt),"A creamy and cooling blend of cashew yogurt with sweet Kesar and Alphonso mangoes, delicately spiced with green cardamom.",Vegan,Gluten-Free,12.00
Connection Cafe,Lightning,Breakfast Menu,Chia Pudding,"Chia Seeds, coconut milk, banana and granola",Vegan,None,17.00
Connection Cafe,Lightning,Daytime Menu,Buddha Plate,"Large! Feeds 1-2 people. Rice or quinoa, beans, a variety of cooked and fresh veggies, crunchy toppings and Buddha Sauce",Vegan,Gluten-Free,29.00
Connection Cafe,Lightning,Daytime Menu,Bite Bowl,"Rice or quinoa, beans, fresh veggies, crunchy topping, and choice of sauce",Vegan,Gluten-Free,20.00
Connection Cafe,Lightning,Daytime Menu,Comfort Bowl,"Rice, beans, sweet potato, cooked veggies, and choice of Sauce",Vegan,Gluten-Free,20.00
Connection Cafe,Lightning,Daytime Menu,Rice & Beans,Rice Quinoa & Beans,Vegan,Gluten-Free,11.00
Connection Cafe,Lightning,Daytime Menu,Watermelon Slice,Watermelon Slice,Vegan,Gluten-Free,5.00
Connection Cafe,Lightning,Drinks,Lemon Yerba Mate',Iced Lemon Yerba Mate,Vegan,Gluten-Free,8.00
Connection Cafe,Lightning,Drinks,Macha Latte,"Iced Macha, coconut milk, vanilla, and honey",Vegan,Gluten-Free,12.00
Connection Cafe,Lightning,Drinks,Iced Cacao,"100% pure organic cacao, ashwagandha, reishi, cinnamon, cardamom, sea salt, organic agave",Vegan,Gluten-Free,15.00
Connection Cafe,Lightning,Nightime Menu,Miso Ramen Soup,"Rice noodles, tamari miso broth, shitake, ginger and garlic",Vegan,Gluten-Free,19.00
Connection Cafe,Lightning,Protien add ons,Boiled Egg,Boiled Egg,None,Gluten-Free,5.00
Connection Cafe,Lightning,Protien add ons,Seared Tofu,Seared Tofu,Vegan,Gluten-Free,7.00
Connection Cafe,Lightning,Protien add ons,Seared Steak,Seared Steak,None,,9.00
Connection Cafe,Lightning,Protien add ons,Seared Chicken,Seared Chicken,None,,8.00
Connection Cafe,Lightning,Protien add ons,Toasted Pecans,Toasted Pecans,Vegan,Gluten-Free,5.00
Connection Cafe,Lightning,Add ons,Avacado,Avacado,Vegan,Gluten-Free,4.00
Connection Cafe,Lightning,Add ons,Extra Veggies,Extra Cooked or Fresh Veggies,Vegan,Gluten-Free,4.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Aloha Bowl,"Chicken teriyaki, kalua pork, on rice and greens with teriyaki sauce, chili cream sauce, green onions and 3 coconut shrimp & mac salad",None,None,28.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Kalbi Short Ribs W/ shrimp,"Short Ribs served w rice mixed greens, mac salad, and 3 coconut shrimp",None,None,27.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Kalbi Short Ribs no shrimp,"Short Ribs served w rice mixed greens, mac salad",None,None,25.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Chicken Teriyaki bowli ,Chicken served over rice & mixed greens w/ pineapple slice and broccoli,None,None,22.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Kalua Pork Bowl,"Slow roasted kalua pork, pineapple mango chutney, chili cream sauce rice, mixed greens and mac salad (GF w/out mac salac)",Gluten-Free,None,22.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Food,Mahi Mahi Fish Tacos,"Corn tortillas, grilled mahi-mahi, coconut slaw, sriracha aoli",Gluten-Free,,17.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Drink,Organic Guava Juice,Organic guava juice on ice,Gluten-Free,Vegetarian,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Dessert,Guava Slushy,Guava juice slushy with vanilla ice cfeam ,Vegetarian,None,10.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Dessert,Shave Ice,Shave ice w/ variety of flavors - limited item,Vegan,Gluten-Free,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Dessert,Snow Cap,Topping for Shave Ice,None,,1.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Snack,Spam Musubi,Spam & rice wrapped in seaweed,,,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Side,Side of Mac Salad,Hawaiian style macaroni salad,None,None,6.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Side,Bowl of Rice,,Gluten-Free,None,6.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Add On,3 Coconut Shrimp ,3 fried coconut shrimp,None,None,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Add On,Add Chicken,,None,None,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Add On,Add Pork,,None,None,7.00
Kaliko's Hawaiian Kitchen - Thunder,Thunder,Add On,Add Pineapple,,None,None,1.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Bowls,Island Bowl,"sashimi ahi and 3 coconut shrimp on rice and greens with seaweed salad, mango, avocado topped with sriracha aioli, eel sauce and green onions ",None,None,26.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Bowls,Chicken Teriyaki,Grilled chicken with steamed broccoli and pineapple ring with teriyaki glaze,None,None,22.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Bowls,Kalua Pork,"Slow roasted pork on rice and greens with, mac salad, mango pineapple chutney, chili cream sauce and green onions. Gluten free upon request",Gluten-Free,None,22.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Bowls,Loco Moco Beef,Beef patty on rice and greens with fried egg and gravy,None,None,22.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Tacos,Fish Tacos,"2 mahi mahi fish tacos on corn tortilla with sriracha aioli and coconut slaw
",Gluten-Free,None,17.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Bowls,Rainbow Bowl,"Avocado, boiled egg (omit for vegan), carrots, beets on rice & green with miso sesame dressing",Gluten-Free,Vegetarian,17.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Drink,Organic Guava Juice,,Gluten-Free,Vegan,7.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Side,Side of Mac Salad,Hawaiian style macaroni salad,None,None,6.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Side,Bowl of Rice,,Gluten-Free,None,6.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Add On,3 Coconut Shrimp ,3 fried coconut shrimp,None,None,7.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Add On,Avocado,,None,None,3.00
Kaliko's Hawaiian Kitchen - Lightning VIP,Lightning VIP,Add On,Add Chicken,,None,None,7.00
